axis,regime,D_km,seed,n_truth,n_high,n_displaced,mu_u,rho_u,ceil_seed,ceil_mcar,auc,brier,ess,sp_ALL,D_ALL,sp_FILTER,D_FILTER,sp_IPW_est,D_IPW_est,sp_IPW_oracle,D_IPW_oracle,sp_SMITH_env,D_SMITH_env,sp_ALL_calib,D_ALL_calib
long_range,toward_HQ,25.0,2,2923,1545,514,0.05687843621420284,0.6133508293800781,0.8759938491756439,0.8409728101071131,0.7452012907407668,0.20626264682965056,0.3581348430456755,0.8422217825464113,0.8433482001798687,0.7180922990482356,0.7624212479237864,0.6725935474535993,0.7592516090097507,0.7051608144283559,0.7777495927090691,0.827079638240275,0.8506903940269558,0.8312108984836049,0.8722541242558739
long_range,away_HQ,25.0,0,2923,1562,526,-0.4137202223996899,0.40881025257925746,0.8759938491756439,0.8409728101071131,0.8681036859054267,0.13974440723658396,0.6458701733041833,0.8352554677852689,0.8345724373984439,0.7267286349143554,0.7607842365822808,0.7080057551193036,0.765732149292824,0.7165938660819385,0.7744345066473405,0.8223292281674166,0.847580791876269,0.8328218611898617,0.872206207701742
long_range,away_HQ,25.0,1,2923,1576,533,-0.4307414349857913,0.4123445684125132,0.8759938491756439,0.8409728101071131,0.8619539944000393,0.14379826571035909,0.43664234776051736,0.8382242372975033,0.8294888430855101,0.7215268906506681,0.7644925461066354,0.6992185638192011,0.7708591551432991,0.6983640262487603,0.7832215272314671,0.8181451190929276,0.8508332099278886,0.8281524058320483,0.8699751237638375
long_range,away_HQ,25.0,2,2923,1545,514,-0.4242080926677872,0.4188506348448585,0.8759938491756439,0.8409728101071131,0.841333295757183,0.15455061202973427,0.4519204836259149,0.8366403369951525,0.8314600375849144,0.7180922990482356,0.7624212479237864,0.6965993661979759,0.7694392242878219,0.7051608144283559,0.7777495927090691,0.827079638240275,0.8506903940269558,0.8312108984836049,0.8722541242558739
short_range,iso,25.0,0,2923,1592,204,0.12474105375077804,0.551976333479794,0.8759938491756439,0.8409728101071131,0.7938735752390804,0.18286331233957775,0.4848845203850134,0.8434933638647744,0.8818926283040571,0.8039013219530626,0.8522420532586749,0.7982600992927019,0.8441865163290759,0.7961877822960571,0.8674119223124325,0.8452478686965402,0.8970067533622978,0.8416619742373606,0.9043706280678184
short_range,iso,25.0,1,2923,1576,203,0.11740225277122521,0.45748084390926735,0.8759938491756439,0.8409728101071131,0.8028854306807005,0.17788384293710738,0.45837015368595735,0.8449916544878815,0.8790395879376675,0.7863343371274377,0.8474939468283867,0.7832843401482597,0.831172004747933,0.7892226606998921,0.8661868629314387,0.8444845257161617,0.8967063511670055,0.8410512400883131,0.9014589733407373
short_range,iso,25.0,2,2923,1523,207,0.07340841746208523,0.5094993255953619,0.8759938491756439,0.8409728101071131,0.8135913610355502,0.17190108539285578,0.47302343050626455,0.8494331756432474,0.8814909328743016,0.8080350513553431,0.8444954696785518,0.8063791488953894,0.8282492099724277,0.8026180582792157,0.8589314200036601,0.8439914513248924,0.8977685248077909,0.8538223146847245,0.906089336571129
short_range,toward_HQ,25.0,0,2923,1592,204,0.32740554444093967,0.5519516318617864,0.8759938491756439,0.8409728101071131,0.7771164707836704,0.1896181715125503,0.47353359415184676,0.8434217668593986,0.8958763409316919,0.8039013219530626,0.852242053258675,0.7890701224548882,0.836083084769332,0.7961877822960571,0.8674119223124325,0.8452478686965402,0.8970067533622978,0.8416619781637537,0.9043706280678185
short_range,toward_HQ,25.0,1,2923,1576,203,0.35386768675463387,0.5336888492102846,0.8759938491756439,0.8409728101071131,0.7815824505669677,0.1899256872768495,0.23665637299566378,0.8441431427088135,0.8922906525229882,0.7863343371274377,0.8474939468283866,0.7633191721275034,0.7933241505171644,0.7892226606998921,0.8661868629314387,0.8444845257161617,0.8967063511670055,0.8410512400883131,0.9014589733407373
short_range,toward_HQ,25.0,2,2923,1523,207,0.3132411915783787,0.508880446044354,0.8759938491756439,0.8409728101071131,0.7910559515992871,0.18295671671580208,0.02630538691844164,0.8531721532099381,0.8962987254576217,0.8080350513553431,0.8444954696785518,0.7537096579204167,0.6714047530752565,0.8026180582792157,0.8589314200036601,0.8439914513248924,0.8977685248077909,0.8538223146847245,0.906089336571129
short_range,away_HQ,25.0,0,2923,1592,204,-0.09791250203024063,0.5479723535197834,0.8759938491756439,0.8409728101071131,0.8113650049647183,0.1725021291840935,0.5114797517116917,0.8454515636512904,0.8936350741248031,0.8039013219530626,0.8522420532586749,0.7916808634732084,0.8491452823443935,0.7961877822960571,0.8674119223124326,0.8452478686965402,0.8970067533622978,0.8416619781637537,0.9043706280678184
short_range,away_HQ,25.0,1,2923,1576,203,-0.11643943404254027,0.4876497431414165,0.8759938491756439,0.8409728101071131,0.8136705840012963,0.1725128886665307,0.2994587114548143,0.8524128509228953,0.8941097718256212,0.7863343371274377,0.8474939468283866,0.7740563427534635,0.8264883602745101,0.7892226606998921,0.8661868629314387,0.8444845257161617,0.8967063511670055,0.8410512400883131,0.9014589733407373
short_range,away_HQ,25.0,2,2923,1523,207,-0.13818717154345891,0.5405029347276984,0.8759938491756439,0.8409728101071131,0.8219794109370604,0.1649957099409832,0.37984346324962254,0.8519959117874671,0.8969788997797845,0.8080350513553431,0.8444954696785518,0.8051166582476069,0.8309175557197295,0.8026180582792157,0.8589314200036601,0.8439914513248924,0.8977685248077909,0.8538223146847245,0.906089336571129
